JobName=PiEstimator, ID=attempt_201308081533_0001_m_000033_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976236179, FinishTime=1375976240591, ExecTime=4412 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000034_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976239602, FinishTime=1375976244179, ExecTime=4577 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000035_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976239184, FinishTime=1375976243505, ExecTime=4321 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000036_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976242609, FinishTime=1375976247141, ExecTime=4532 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000037_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976242189, FinishTime=1375976246580, ExecTime=4391 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000038_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976245616, FinishTime=1375976250130, ExecTime=4514 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000039_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976245202, FinishTime=1375976249567, ExecTime=4365 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000040_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976248624, FinishTime=1375976253229, ExecTime=4605 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000041_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976248208, FinishTime=1375976252560, ExecTime=4352 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000042_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976251630, FinishTime=1375976256169, ExecTime=4539 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000043_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976251214, FinishTime=1375976255584, ExecTime=4370 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000044_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976254635, FinishTime=1375976259146, ExecTime=4511 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000045_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976254220, FinishTime=1375976258548, ExecTime=4328 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000046_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976257642, FinishTime=1375976262236, ExecTime=4594 
