***current time: 1375648574647, job name: PiEstimator, job startTime: 1375648574602, job relativeDeadline: 300, job deadline: 1375648874602
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000058_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5608 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000059_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5486 
 JobName=TeraSort, ID=attempt_201308042034_0003_r_000000_0, Type=REDUCE, Status=SUCCEEDED, Machine=mastertest, ExecTime=156259, ShuffleTime=141591, SortTime=801 
JobName=TeraSort, ID=attempt_201308042034_0003_r_000002_0, Type=REDUCE, Status=SUCCEEDED, Machine=mastertest, ExecTime=156404, ShuffleTime=137630, SortTime=1053 
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000060_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6822 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000061_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6493 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000062_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=5227 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000063_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6888 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000064_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6918 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000065_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=5359 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000068_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4542 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000066_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6528 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000067_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6896 
 JobName=TeraSort, ID=attempt_201308042034_0003_r_000003_0, Type=REDUCE, Status=SUCCEEDED, Machine=mastertest, ExecTime=28797, ShuffleTime=14539, SortTime=801 
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000069_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4379 
 JobName=TeraSort, ID=attempt_201308042034_0003_r_000003_1, Type=REDUCE, Status=KILLED, Machine=slave1test, ExecTime=32961, ShuffleTime=19739, SortTime=1470 
JobName=TeraSort, ID=attempt_201308042034_0003_m_000016_0, Type=SC_MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4362 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000070_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6708 
